s,a,r,sp
0345678,6,-1000000,0345678
0345678,0,-1000000,0345678
0345678,7,-1000000,0345678
0345678,0,-1000000,0345678
0345678,5,-1000000,0345678
0345678,0,-1000000,0345678
0345678,4,-1000000,0345678
0345678,1,19589.582120844163,01345678
01345678,4,-1000000,01345678
01345678,8,-1000000,01345678
01345678,0,-1000000,01345678
01345678,8,-1000000,01345678
01345678,4,-1000000,01345678
01345678,6,-1000000,01345678
01345678,5,-1000000,01345678
01345678,2,2928800.941895079,012345678
012345678,8,-1000000,012345678
,8,2808594.1048810845,8
8,8,-1000000,8
8,0,2340106.915253657,08
08,7,2899957.6613291064,078
078,0,-1000000,078
078,3,705623.0435938062,0378
0378,1,-663300.8980024336,01378
01378,6,281078.4482799331,013678
013678,2,120206.83701399527,0123678
0123678,2,-1000000,0123678
0123678,4,-281078.448279934,01234678
01234678,7,-1000000,01234678
01234678,1,-1000000,01234678
01234678,2,-1000000,01234678
01234678,0,-1000000,01234678
01234678,2,-1000000,01234678
01234678,2,-1000000,01234678
01234678,6,-1000000,01234678
01234678,5,0.0,012345678
012345678,8,-1000000,012345678
,2,2928800.9418950784,2
2,0,2340106.9152536565,02
02,6,319212.25459662545,026
026,8,0.0,0268
0268,6,-1000000,0268
0268,6,-1000000,0268
0268,3,-319212.25459662545,02368
02368,5,3394.4432669160888,023568
023568,1,2938885.363653564,0123568
0123568,7,0.0,01235678
01235678,4,1283.1802285099402,012345678
012345678,4,-1000000,012345678
,2,2928800.9418950784,2
2,1,2942279.8069204786,12
12,3,157651.26887420472,123
123,1,-1000000,123
123,6,712936.525371653,1236
1236,7,0.0,12367
12367,2,-1000000,12367
12367,6,-1000000,12367
12367,1,-1000000,12367
12367,3,-1000000,12367
12367,5,1322.9750173566863,123567
123567,6,-1000000,123567
123567,8,0.07862856145948172,1235678
1235678,6,-1000000,1235678
1235678,3,-1000000,1235678
1235678,0,1469519.1210078,01235678
01235678,5,-1000000,01235678
01235678,8,-1000000,01235678
01235678,8,-1000000,01235678
01235678,5,-1000000,01235678
01235678,3,-1000000,01235678
01235678,4,-0.07862856145948172,012345678
012345678,3,-1000000,012345678
,7,2899957.661329106,7
7,6,2475132.7582064043,67
67,7,-1000000,67
67,3,-2983040.302372493,367
367,8,2808594.1048810845,3678
3678,1,568884.3735295413,13678
13678,1,-1000000,13678
13678,7,-1000000,13678
