s,a,r,sp
01245678,3,177420.58334257174,012345678
012345678,6,-1000000,012345678
,6,2475132.7582064047,6
6,5,2917094.67631579,56
56,0,-135025.84295274876,056
056,2,578661.1495202743,0256
0256,6,-1000000,0256
0256,5,-1000000,0256
0256,6,-1000000,0256
0256,5,-1000000,0256
0256,5,-1000000,0256
0256,5,-1000000,0256
0256,1,2375324.9229794946,01256
01256,8,3.8684321250766516,012568
012568,0,-1000000,012568
012568,4,-3.8684321250766516,0124568
0124568,6,-1000000,0124568
0124568,0,-1000000,0124568
0124568,4,-1000000,0124568
0124568,2,-1000000,0124568
0124568,6,-1000000,0124568
0124568,2,-1000000,0124568
0124568,1,-1000000,0124568
0124568,7,2854.2591095864773,01245678
01245678,7,-1000000,01245678
01245678,4,-1000000,01245678
01245678,3,-2853.9612692417577,012345678
012345678,5,-1000000,012345678
,4,2899957.661329106,4
,9,0,
,8,2808594.1048810845,8
8,6,2475132.7582064047,68
68,8,-1000000,68
68,3,-137309.958586053,368
368,7,0.0,3678
3678,3,-1000000,3678
3678,1,605525.7998227626,13678
13678,1,-1000000,13678
13678,3,-1000000,13678
13678,0,2339038.1227310216,013678
013678,5,-2727090.2117796717,0135678
0135678,5,-1000000,0135678
0135678,6,-1000000,0135678
0135678,6,-1000000,0135678
0135678,5,-1000000,0135678
0135678,3,-1000000,0135678
0135678,8,-1000000,0135678
0135678,8,-1000000,0135678
0135678,0,-1000000,0135678
0135678,0,-1000000,0135678
0135678,7,-1000000,0135678
0135678,4,72187.76102223247,01345678
01345678,7,-1000000,01345678
01345678,4,-1000000,01345678
01345678,7,-1000000,01345678
01345678,7,-1000000,01345678
01345678,0,-1000000,01345678
01345678,7,-1000000,01345678
01345678,8,-1000000,01345678
01345678,8,-1000000,01345678
01345678,2,2775109.2877714336,012345678
012345678,1,-1000000,012345678
,4,2899957.661329106,4
4,2,28843.28056597244,24
24,3,2337822.7996203513,234
234,5,0.0,2345
2345,8,51135.46086767968,23458
23458,4,-1000000,23458
23458,0,410044.3999691056,023458
023458,3,-1000000,023458
023458,4,-1000000,023458
023458,3,-1000000,023458
023458,5,-1000000,023458
023458,7,223402.4286449356,0234578
0234578,3,-1000000,0234578
0234578,7,-1000000,0234578
0234578,4,-1000000,0234578
0234578,8,-1000000,0234578
0234578,1,2311117.093939744,01234578
01234578,6,0.0,012345678
012345678,1,-1000000,012345678
,4,2899957.661329106,4
4,5,2917094.6763157896,45
45,5,-1000000,45
45,3,2337822.7996203527,345
345,8,0.0,3458
3458,2,-2888076.49976784,23458
23458,6,0.0,234568
234568,3,-1000000,234568
234568,1,604282.1113181487,1234568
1234568,1,-1000000,1234568
1234568,7,65594.8858757792,12345678
12345678,2,-1000000,12345678
12345678,7,-1000000,12345678
12345678,1,-1000000,12345678
12345678,2,-1000000,12345678
12345678,2,-1000000,12345678
12345678,2,-1000000,12345678
12345678,1,-1000000,12345678
12345678,6,-1000000,12345678
12345678,0,2340106.915253658,012345678
012345678,2,-1000000,012345678
,1,2942279.8069204786,1
1,2,2928800.9418950784,12
12,8,0.10778642445802689,128
128,7,0.0,1278
1278,8,-1000000,1278
1278,1,-1000000,1278
1278,5,1792.6453810706735,12578
12578,6,2475132.7582064047,125678
125678,0,-134068.40682271682,0125678
0125678,7,-1000000,0125678
0125678,5,-1000000,0125678
0125678,0,-1000000,0125678
0125678,2,-1000000,0125678
0125678,8,-1000000,0125678
0125678,2,-1000000,0125678
0125678,0,-1000000,0125678
0125678,8,-1000000,0125678
0125678,7,-1000000,0125678
0125678,4,-957.4361300300807,01245678
01245678,6,-1000000,01245678
01245678,1,-1000000,01245678
01245678,3,0.0,012345678
012345678,0,-1000000,012345678
,5,2917094.6763157896,5
5,4,2899957.661329106,45
45,8,0.0,458
458,3,2337822.7996203527,3458
3458,5,-1000000,3458
3458,5,-1000000,3458
3458,1,-5210404.585636305,13458
13458,8,-1000000,13458
13458,5,-1000000,13458
13458,1,-1000000,13458
13458,3,-1000000,13458
13458,6,2356257.599100601,134568
134568,6,-1000000,134568
134568,8,-1000000,134568
134568,3,-1000000,134568
134568,0,-18341.428555408493,0134568
0134568,4,-1000000,0134568
0134568,0,-1000000,0134568
0134568,6,-1000000,0134568
0134568,6,-1000000,0134568
0134568,3,-1000000,0134568
0134568,6,-1000000,0134568
0134568,5,-1000000,0134568
0134568,8,-1000000,0134568
0134568,8,-1000000,0134568
0134568,3,-1000000,0134568
0134568,8,-1000000,0134568
0134568,3,-1000000,0134568
0134568,5,-1000000,0134568
0134568,4,-1000000,0134568
0134568,5,-1000000,0134568
0134568,5,-1000000,0134568
0134568,5,-1000000,0134568
0134568,7,0.0,01345678
01345678,0,-1000000,01345678
01345678,1,-1000000,01345678
01345678,2,2928800.941895079,012345678
012345678,4,-1000000,012345678
,4,2899957.661329106,4
4,0,-559850.746075449,04
04,3,0.0,034
034,5,2917094.676315789,0345
0345,8,0.0,03458
03458,5,-1000000,03458
03458,7,0.0,034578
034578,8,-1000000,034578
034578,0,-1000000,034578
034578,2,11706.265579288825,0234578
0234578,3,-1000000,0234578
0234578,5,-1000000,0234578
0234578,4,-1000000,0234578
0234578,5,-1000000,0234578
0234578,6,0.0,02345678
02345678,8,-1000000,02345678
02345678,5,-1000000,02345678
02345678,1,2942279.80692048,012345678
012345678,1,-1000000,012345678
,1,2942279.8069204786,1
1,0,2340106.9152536574,01
01,6,102923.22998616844,016
016,8,2808594.1048810845,0168
0168,5,-2808594.1048810845,01568
01568,5,-1000000,01568
01568,3,-102923.22998616844,013568
013568,0,-1000000,013568
013568,4,0.0,0134568
0134568,8,-1000000,0134568
0134568,1,-1000000,0134568
0134568,5,-1000000,0134568
0134568,5,-1000000,0134568
0134568,2,2928800.941895079,01234568
01234568,3,-1000000,01234568
01234568,1,-1000000,01234568
01234568,3,-1000000,01234568
01234568,5,-1000000,01234568
01234568,3,-1000000,01234568
01234568,5,-1000000,01234568
01234568,7,14917.77887906041,012345678
012345678,8,-1000000,012345678
,7,2899957.661329106,7
7,5,17137.014986683615,57
57,5,-1000000,57
57,1,32057.47498135362,157
157,8,1993971.5452963212,1578
1578,1,-1000000,1578
1578,6,2475132.758206404,15678
15678,8,-1000000,15678
15678,2,927957.0522220936,125678
125678,1,-1000000,125678
125678,6,-1000000,125678
125678,5,-1000000,125678
125678,1,-1000000,125678
125678,5,-1000000,125678
125678,7,-1000000,125678
125678,7,-1000000,125678
125678,1,-1000000,125678
125678,4,-2472182.6094574127,1245678
1245678,7,-1000000,1245678
1245678,8,-1000000,1245678
1245678,4,-1000000,1245678
1245678,2,-1000000,1245678
1245678,1,-1000000,1245678
1245678,6,-1000000,1245678
1245678,2,-1000000,1245678
1245678,0,2337156.766504666,01245678
01245678,2,-1000000,01245678
01245678,3,0.0,012345678
012345678,0,-1000000,012345678
,4,2899957.661329106,4
4,3,2337822.799620352,34
34,4,-1000000,34
34,1,-2295500.6540289796,134
134,4,-1000000,134
134,1,-1000000,134
134,6,2475132.7582064043,1346
1346,4,-1000000,1346
1346,4,-1000000,1346
1346,4,-1000000,1346
1346,1,-1000000,1346
1346,0,-135025.8429527469,01346
01346,3,-1000000,01346
01346,2,2928800.941895079,012346
012346,2,-1000000,012346
012346,5,0.0,0123456
0123456,2,-1000000,0123456
0123456,7,0.0,01234567
01234567,8,0.0,012345678
012345678,8,-1000000,012345678
,5,2917094.6763157896,5
5,8,132.3678595307283,58
58,0,2340106.915253656,058
058,1,28702.519784444943,0158
0158,0,-1000000,0158
0158,5,-1000000,0158
0158,6,883415.6070619682,01568
01568,1,-1000000,01568
01568,7,0.0,015678
015678,1,-1000000,015678
015678,4,-883547.9749214984,0145678
0145678,3,0.0,01345678
01345678,5,-1000000,01345678
01345678,5,-1000000,01345678
01345678,0,-1000000,01345678
01345678,0,-1000000,01345678
01345678,7,-1000000,01345678
01345678,1,-1000000,01345678
01345678,4,-1000000,01345678
01345678,4,-1000000,01345678
01345678,3,-1000000,01345678
01345678,8,-1000000,01345678
01345678,6,-1000000,01345678
01345678,8,-1000000,01345678
01345678,3,-1000000,01345678
01345678,6,-1000000,01345678
01345678,7,-1000000,01345678
01345678,4,-1000000,01345678
01345678,1,-1000000,01345678
01345678,0,-1000000,01345678
01345678,7,-1000000,01345678
01345678,9,0,01345678
,7,2899957.661329106,7
7,2,2928800.9418950784,27
27,3,-562134.8617087547,237
237,7,-1000000,237
237,5,1743359.7171684671,2357
2357,8,0.0,23578
23578,8,-1000000,23578
23578,5,-1000000,23578
23578,7,-1000000,23578
23578,1,-1138902.7098683398,123578
123578,7,-1000000,123578
123578,3,-1000000,123578
123578,1,-1000000,123578
123578,7,-1000000,123578
123578,2,-1000000,123578
123578,1,-1000000,123578
123578,0,2340106.915253658,0123578
0123578,0,-1000000,0123578
0123578,6,191.06237930897623,01235678
01235678,0,-1000000,01235678
01235678,5,-1000000,01235678
01235678,4,-191.06237930897623,012345678
012345678,8,-1000000,012345678
,4,2899957.661329106,4
4,0,-559850.746075449,04
04,5,2917094.676315789,045
045,8,20988.84377226699,0458
0458,7,164389.71176145133,04578
04578,2,-9282.578192978166,024578
024578,0,-1000000,024578
024578,7,-1000000,024578
024578,3,-164389.71176145133,0234578
0234578,8,-1000000,0234578
0234578,5,-1000000,0234578
0234578,5,-1000000,0234578
0234578,2,-1000000,0234578
0234578,0,-1000000,0234578
0234578,0,-1000000,0234578
0234578,6,13577.197102442384,02345678
02345678,2,-1000000,02345678
02345678,7,-1000000,02345678
02345678,7,-1000000,02345678
02345678,1,2942279.80692048,012345678
012345678,0,-1000000,012345678
,1,2942279.8069204786,1
1,1,-1000000,1
1,4,774.0148599855602,14
14,7,0.0,147
147,2,2928026.927035093,1247
1247,0,2340106.915253658,01247
01247,5,0.0,012457
012457,1,-1000000,012457
012457,2,-1000000,012457
012457,7,-1000000,012457
012457,2,-1000000,012457
012457,4,-1000000,012457
012457,5,-1000000,012457
012457,3,0.0,0123457
0123457,3,-1000000,0123457
0123457,5,-1000000,0123457
0123457,8,0.0,01234578
01234578,3,-1000000,01234578
01234578,5,-1000000,01234578
01234578,2,-1000000,01234578
01234578,4,-1000000,01234578
01234578,1,-1000000,01234578
01234578,4,-1000000,01234578
01234578,5,-1000000,01234578
01234578,7,-1000000,01234578
01234578,0,-1000000,01234578
01234578,8,-1000000,01234578
01234578,4,-1000000,01234578
01234578,8,-1000000,01234578
01234578,4,-1000000,01234578
01234578,3,-1000000,01234578
01234578,7,-1000000,01234578
01234578,3,-1000000,01234578
01234578,0,-1000000,01234578
01234578,2,-1000000,01234578
01234578,2,-1000000,01234578
01234578,4,-1000000,01234578
01234578,1,-1000000,01234578
01234578,5,-1000000,01234578
01234578,5,-1000000,01234578
01234578,6,52315.636094215326,012345678
012345678,4,-1000000,012345678
,7,2899957.661329106,7
7,7,-1000000,7
7,1,350129.09698172566,17
17,8,2808594.104881084,178
178,8,-1000000,178
178,5,-2880153.423521655,1578
1578,4,-121707.40193427168,14578
14578,8,-1000000,14578
14578,8,-1000000,14578
14578,6,2222948.506305358,145678
145678,7,-1000000,145678
145678,2,2814260.7110795686,1245678
1245678,7,-1000000,1245678
1245678,8,-1000000,1245678
1245678,3,-2222948.5063053584,12345678
12345678,8,-1000000,12345678
12345678,5,-1000000,12345678
12345678,1,-1000000,12345678
12345678,3,-1000000,12345678
12345678,5,-1000000,12345678
12345678,0,2340106.915253658,012345678
012345678,7,-1000000,012345678
,8,2808594.1048810845,8
8,0,2340106.915253657,08
08,2,120206.83701399341,028
028,1,2942279.80692048,0128
0128,0,-1000000,0128
0128,5,348.1478605531156,01258
01258,5,-1000000,01258
01258,5,-1000000,01258
01258,8,-1000000,01258
01258,7,131329.35073799733,012578
012578,2,-1000000,012578
012578,3,-131329.35073799733,0123578
0123578,6,232.1659558415413,01235678
01235678,5,-1000000,01235678
01235678,0,-1000000,01235678
01235678,4,-232.1659558415413,012345678
012345678,2,-1000000,012345678
,1,2942279.8069204786,1
1,2,2928800.9418950784,12
12,5,0.0,125
125,6,2475132.7582064047,1256
1256,2,-1000000,1256
1256,6,-1000000,1256
1256,4,-2475132.7582064047,12456
12456,0,2340106.915253658,012456
012456,3,464.9885162888095,0123456
0123456,5,-1000000,0123456
0123456,1,-1000000,0123456
0123456,8,26568.87781281676,01234568
01234568,2,-1000000,01234568
01234568,4,-1000000,01234568
01234568,5,-1000000,01234568
01234568,3,-1000000,01234568
01234568,2,-1000000,01234568
01234568,1,-1000000,01234568
01234568,0,-1000000,01234568
01234568,5,-1000000,01234568
01234568,5,-1000000,01234568
01234568,8,-1000000,01234568
01234568,4,-1000000,01234568
01234568,5,-1000000,01234568
01234568,7,0.0,012345678
012345678,3,-1000000,012345678
,1,2942279.8069204786,1
1,3,0.0,13
13,0,2340106.9152536574,013
013,8,2808594.1048810845,0138
0138,4,-2803040.2775919726,01348
01348,6,0.0,013468
013468,4,-1000000,013468
013468,7,747294.5066193826,0134678
0134678,0,-1000000,0134678
0134678,5,-750489.5392328054,01345678
01345678,1,-1000000,01345678
01345678,7,-1000000,01345678
01345678,1,-1000000,01345678
01345678,1,-1000000,01345678
01345678,3,-1000000,01345678
01345678,8,-1000000,01345678
01345678,6,-1000000,01345678
01345678,5,-1000000,01345678
01345678,0,-1000000,01345678
01345678,6,-1000000,01345678
01345678,4,-1000000,01345678
01345678,6,-1000000,01345678
01345678,3,-1000000,01345678
01345678,7,-1000000,01345678
01345678,8,-1000000,01345678
01345678,7,-1000000,01345678
01345678,7,-1000000,01345678
01345678,3,-1000000,01345678
01345678,6,-1000000,01345678
01345678,4,-1000000,01345678
01345678,8,-1000000,01345678
01345678,5,-1000000,01345678
01345678,4,-1000000,01345678
01345678,2,2926442.1472193897,012345678
012345678,5,-1000000,012345678
,3,2337822.7996203518,3
3,3,-1000000,3
3,1,635176.0858039055,13
13,2,2928800.941895079,123
123,0,2309387.8367498787,0123
0123,6,0.0,01236
01236,6,-1000000,01236
01236,1,-1000000,01236
01236,3,-1000000,01236
01236,8,0.0,012368
01236,9,0,01236
,5,2917094.6763157896,5
5,1,103908.23939834442,15
15,5,-1000000,15
15,1,-1000000,15
15,7,354873.7001100206,157
157,5,-1000000,157
157,3,-354873.7001100206,1357
1357,2,2850077.833101423,12357
12357,2,-1000000,12357
12357,4,88.76777016650885,123457
123457,0,2340018.1474834913,0123457
0123457,6,0.38398824725300074,01234567
01234567,5,-1000000,01234567
01234567,2,-1000000,01234567
01234567,0,-1000000,01234567
01234567,4,-1000000,01234567
01234567,7,-1000000,01234567
01234567,3,-1000000,01234567
01234567,0,-1000000,01234567
01234567,4,-1000000,01234567
01234567,7,-1000000,01234567
01234567,7,-1000000,01234567
01234567,2,-1000000,01234567
01234567,8,163039.26211060677,012345678
012345678,4,-1000000,012345678
,6,2475132.7582064047,6
6,4,424824.9031227012,46
46,3,2337822.799620352,346
346,2,28843.28056597151,2346
2346,1,604457.0073001273,12346
12346,4,-1000000,12346
12346,6,-1000000,12346
12346,8,574000.7850331105,123468
123468,3,-1000000,123468
123468,8,-1000000,123468
123468,2,-1000000,123468
123468,4,-1000000,123468
123468,7,0.0,1234678
1234678,0,2340106.915253658,01234678
01234678,4,-1000000,01234678
01234678,5,-574000.7850331105,012345678
012345678,1,-1000000,012345678
,0,2340106.915253657,0
0,1,2942279.806920479,01
01,1,-1000000,01
01,8,2808594.1048810845,018
018,2,171643.42717753723,0128
0128,2,-1000000,0128
0128,6,51694.20951402746,01268
01268,4,-103130.79967757035,012468
012468,1,-1000000,012468
012468,6,-1000000,012468
012468,5,0.0,0124568
0124568,1,-1000000,0124568
0124568,3,0.0,01234568
01234568,5,-1000000,01234568
01234568,5,-1000000,01234568
01234568,1,-1000000,01234568
01234568,7,0.0,012345678
012345678,6,-1000000,012345678
,6,2475132.7582064047,6
6,8,2808594.1048810845,68
68,5,108500.57143470552,568
68,9,0,68
,1,2942279.8069204786,1
1,6,2475132.7582064043,16
16,7,0.0,167
167,2,2928800.941895079,1267
1267,5,29377.806408382952,12567
12567,6,-1000000,12567
12567,2,-1000000,12567
12567,2,-1000000,12567
12567,0,-135025.8429527469,012567
012567,6,-1000000,012567
012567,5,-1000000,012567
012567,6,-1000000,012567
012567,0,-1000000,012567
012567,6,-1000000,012567
012567,0,-1000000,012567
012567,7,-1000000,012567
012567,1,-1000000,012567
012567,1,-1000000,012567
012567,5,-1000000,012567
012567,4,0.0,0124567
0124567,4,-1000000,0124567
0124567,3,0.0,01234567
01234567,7,-1000000,01234567
01234567,1,-1000000,01234567
01234567,0,-1000000,01234567
01234567,8,250912.6559809707,012345678
012345678,1,-1000000,012345678
,5,2917094.6763157896,5
5,4,2899957.661329106,45
45,8,0.0,458
458,7,0.0,4578
4578,0,-537789.7453181632,04578
04578,8,-1000000,04578
04578,2,-10354.7351779975,024578
024578,3,25666.24615073297,0234578
0234578,7,-1000000,0234578
0234578,0,-1000000,0234578
0234578,4,-1000000,0234578
0234578,5,-1000000,0234578
0234578,0,-1000000,0234578
0234578,7,-1000000,0234578
0234578,7,-1000000,0234578
0234578,3,-1000000,0234578
0234578,3,-1000000,0234578
0234578,8,-1000000,0234578
0234578,6,340128.9582979502,02345678
02345678,7,-1000000,02345678
02345678,2,-1000000,02345678
02345678,0,-1000000,02345678
02345678,5,-1000000,02345678
02345678,2,-1000000,02345678
02345678,4,-1000000,02345678
02345678,0,-1000000,02345678
02345678,5,-1000000,02345678
02345678,5,-1000000,02345678
02345678,5,-1000000,02345678
02345678,3,-1000000,02345678
02345678,1,2916613.560769748,012345678
012345678,8,-1000000,012345678
,5,2917094.6763157896,5
5,6,2475132.758206405,56
56,4,587427.0734204706,456
456,6,-1000000,456
456,4,-1000000,456
456,1,-2138180.2513237246,1456
1456,0,1455365.894275961,01456
01456,6,-1000000,01456
01456,3,2706.514864549041,013456
013456,4,-1000000,013456
013456,1,-1000000,013456
013456,3,-1000000,013456
013456,8,1411670.367807636,0134568
0134568,0,-1000000,0134568
0134568,8,-1000000,0134568
0134568,6,-1000000,0134568
0134568,3,-1000000,0134568
0134568,6,-1000000,0134568
0134568,4,-1000000,0134568
0134568,2,1502677.145366677,01234568
01234568,6,-1000000,01234568
01234568,2,-1000000,01234568
01234568,7,0.0,012345678
012345678,1,-1000000,012345678
,8,2808594.1048810845,8
8,4,91363.55644802144,48
48,1,42322.145591372624,148
148,1,-1000000,148
148,0,2340106.9152536574,0148
0148,4,-1000000,0148
0148,4,-1000000,0148
0148,6,235.9891149830073,01468
01468,2,2928800.941895079,012468
012468,7,0.0,0124678
0124678,0,-1000000,0124678
0124678,7,-1000000,0124678
0124678,5,0.0,01245678
01245678,1,-1000000,01245678
01245678,4,-1000000,01245678
01245678,7,-1000000,01245678
01245678,7,-1000000,01245678
01245678,3,-235.9891149830073,012345678
012345678,8,-1000000,012345678
,6,2475132.7582064047,6
6,0,-135025.84295274783,06
06,3,0.00218349602073431,036
036,2,2928800.941895078,0236
0236,3,-1000000,0236
0236,1,2942279.804736984,01236
01236,8,41497.693897642195,012368
012368,8,-1000000,012368
012368,3,-1000000,012368
012368,2,-1000000,012368
012368,2,-1000000,012368
012368,5,-38963.30977785122,0123568
0123568,0,-1000000,0123568
0123568,0,-1000000,0123568
0123568,6,-1000000,0123568
0123568,8,-1000000,0123568
0123568,5,-1000000,0123568
0123568,7,0.0,01235678
01235678,4,0.0,012345678
012345678,2,-1000000,012345678
,5,2917094.6763157896,5
5,4,2899957.661329106,45
45,6,115.76713802851737,456
456,8,0.0,4568
4568,5,-1000000,4568
4568,5,-1000000,4568
4568,4,-1000000,4568
4568,5,-1000000,4568
4568,5,-1000000,4568
4568,6,-1000000,4568
4568,2,-2880793.5074880077,24568
24568,4,-1000000,24568
24568,1,2934821.918658669,124568
124568,6,-1000000,124568
124568,3,-96.98815051652491,1234568
1234568,3,-1000000,1234568
1234568,4,-1000000,1234568
1234568,3,-1000000,1234568
1234568,5,-1000000,1234568
1234568,7,0.0,12345678
12345678,0,2340088.136266146,012345678
012345678,4,-1000000,012345678
,5,2917094.6763157896,5
5,2,11706.265579288825,25
25,5,-1000000,25
25,7,2899957.661329106,257
257,5,-1000000,257
257,8,0.0,2578
2578,1,42322.145591372624,12578
12578,4,0.0,124578
124578,6,2475132.7582064047,1245678
1245678,6,-1000000,1245678
1245678,7,-1000000,1245678
1245678,8,-1000000,1245678
1245678,7,-1000000,1245678
1245678,0,-122929.99846471194,01245678
01245678,1,-1000000,01245678
01245678,0,-1000000,01245678
01245678,1,-1000000,01245678
01245678,7,-1000000,01245678
01245678,5,-1000000,01245678
01245678,2,-1000000,01245678
01245678,3,-12095.844488034956,012345678
012345678,1,-1000000,012345678
,0,2340106.915253657,0
0,7,2899957.6613291064,07
07,5,17137.014986682683,057
057,4,0.0,0457
0457,7,-1000000,0457
0457,1,25185.13060468994,01457
01457,0,-1000000,01457
01457,2,2928800.941895079,012457
012457,6,85849.15747559164,0124567
0124567,3,-85849.15746611357,01234567
01234567,3,-1000000,01234567
01234567,3,-1000000,01234567
01234567,8,11622.00096492935,012345678
012345678,0,-1000000,012345678
,3,2337822.7996203518,3
3,1,604457.0073001268,13
13,7,215041.74635304324,137
137,6,2475132.7582064043,1367
1367,4,-2641936.110999583,13467
13467,1,-1000000,13467
13467,7,-1000000,13467
13467,2,2880632.507190786,123467
123467,4,-1000000,123467
123467,4,-1000000,123467
123467,8,0.0,1234678
1234678,7,-1000000,1234678
1234678,7,-1000000,1234678
1234678,3,-1000000,1234678
1234678,7,-1000000,1234678
1234678,5,0.0,12345678
12345678,0,2340036.9563980857,012345678
012345678,3,-1000000,012345678
,1,2942279.8069204786,1
1,3,0.0,13
13,4,37399.56270130491,134
134,0,2302707.3525523525,0134
0134,3,-1000000,0134
0134,2,2928800.941895079,01234
01234,7,0.0,012347
012347,7,-1000000,012347
012347,0,-1000000,012347
012347,5,0.0,0123457
0123457,3,-1000000,0123457
0123457,1,-1000000,0123457
0123457,3,-1000000,0123457
0123457,3,-1000000,0123457
0123457,4,-1000000,0123457
0123457,8,0.0,01234578
01234578,2,-1000000,01234578
01234578,1,-1000000,01234578
01234578,3,-1000000,01234578
01234578,4,-1000000,01234578
01234578,3,-1000000,01234578
01234578,4,-1000000,01234578
01234578,7,-1000000,01234578
01234578,5,-1000000,01234578
01234578,2,-1000000,01234578
01234578,3,-1000000,01234578
01234578,4,-1000000,01234578
01234578,3,-1000000,01234578
01234578,2,-1000000,01234578
01234578,0,-1000000,01234578
01234578,1,-1000000,01234578
01234578,5,-1000000,01234578
01234578,0,-1000000,01234578
01234578,0,-1000000,01234578
01234578,5,-1000000,01234578
01234578,0,-1000000,01234578
01234578,2,-1000000,01234578
01234578,7,-1000000,01234578
01234578,4,-1000000,01234578
01234578,7,-1000000,01234578
01234578,2,-1000000,01234578
01234578,1,-1000000,01234578
01234578,6,15211.382826587185,012345678
012345678,5,-1000000,012345678
,0,2340106.915253657,0
0,6,0.0,06
06,4,57908.04569899617,046
046,8,1121894.6322064684,0468
0468,0,-1000000,0468
0468,4,-1000000,0468
0468,8,-1000000,0468
0468,3,0.0,03468
03468,7,1476413.0884488868,034678
034678,2,1748998.2639896134,0234678
0234678,0,-1000000,0234678
0234678,2,-1000000,0234678
0234678,1,1479638.2168149846,01234678
01234678,7,-1000000,01234678
01234678,7,-1000000,01234678
01234678,6,-1000000,01234678
01234678,4,-1000000,01234678
01234678,1,-1000000,01234678
01234678,1,-1000000,01234678
01234678,0,-1000000,01234678
01234678,1,-1000000,01234678
01234678,8,-1000000,01234678
01234678,8,-1000000,01234678
01234678,8,-1000000,01234678
01234678,1,-1000000,01234678
01234678,7,-1000000,01234678
01234678,0,-1000000,01234678
01234678,7,-1000000,01234678
01234678,8,-1000000,01234678
01234678,6,-1000000,01234678
01234678,3,-1000000,01234678
01234678,3,-1000000,01234678
01234678,0,-1000000,01234678
01234678,8,-1000000,01234678
01234678,7,-1000000,01234678
01234678,1,-1000000,01234678
01234678,8,-1000000,01234678
01234678,3,-1000000,01234678
01234678,0,-1000000,01234678
01234678,6,-1000000,01234678
01234678,3,-1000000,01234678
01234678,4,-1000000,01234678
01234678,0,-1000000,01234678
01234678,7,-1000000,01234678
01234678,1,-1000000,01234678
01234678,5,-13771.498343391344,012345678
012345678,8,-1000000,012345678
,4,2899957.661329106,4
4,4,-1000000,4
4,6,0.0,46
46,7,3720.026124878321,467
467,7,-1000000,467
467,2,120154.84975346178,2467
2467,5,-3720.026124878321,24567
24567,0,2248795.346066167,024567
024567,6,-1000000,024567
024567,8,0.0,0245678
0245678,0,-1000000,0245678
0245678,2,-1000000,0245678
0245678,4,-1000000,0245678
0245678,6,-1000000,0245678
0245678,7,-1000000,0245678
0245678,5,-1000000,0245678
0245678,6,-1000000,0245678
0245678,0,-1000000,0245678
0245678,1,2942279.80692048,01245678
01245678,7,-1000000,01245678
01245678,0,-1000000,01245678
01245678,3,0.0,012345678
012345678,3,-1000000,012345678
,2,2928800.9418950784,2
2,8,0.0,28
28,5,282896.4540134524,258
258,4,125386.4819550924,2458
2458,8,-1000000,2458
2458,2,-1000000,2458
2458,3,2337822.7996203518,23458
23458,2,-1000000,23458
23458,2,-1000000,23458
23458,1,290992.02319573984,123458
123458,6,770255.1156823337,1234568
1234568,6,-1000000,1234568
1234568,0,1475033.8477071663,01234568
01234568,7,53236.52295278199,012345678
012345678,3,-1000000,012345678
,6,2475132.7582064047,6
6,3,25236.391586259473,36
36,8,2808594.104881085,368
368,4,-71182.79372429103,3468
3468,0,-2548164.752290246,03468
03468,0,-1000000,03468
03468,5,2917094.676315789,034568
034568,5,-1000000,034568
034568,0,-1000000,034568
034568,7,0.0,0345678
0345678,7,-1000000,0345678
0345678,8,-1000000,0345678
0345678,3,-1000000,0345678
0345678,0,-1000000,0345678
0345678,4,-1000000,0345678
0345678,2,-337801.5305537423,02345678
02345678,5,-1000000,02345678
02345678,1,2942278.809647956,012345678
012345678,4,-1000000,012345678
,7,2899957.661329106,7
7,1,42322.53380052233,17
17,5,164831.34744803607,157
157,8,848404.1706792135,1578
1578,6,2475132.7582064047,15678
15678,5,-1000000,15678
15678,0,-116431.98614393827,015678
015678,8,-1000000,015678
015678,4,-866998.0274880221,0145678
0145678,5,-1000000,0145678
0145678,2,2763969.2062378926,01245678
01245678,1,-1000000,01245678
01245678,3,0.0,012345678
012345678,3,-1000000,012345678
,7,2899957.661329106,7
7,2,2928800.9418950784,27
27,4,-2899060.1645478704,247
247,5,290355.1638016184,2457
2457,8,113917.53687375644,24578
24578,6,2475132.758206405,245678
245678,0,341576.19215555675,0245678
0245678,0,-1000000,0245678
0245678,5,-1000000,0245678
0245678,5,-1000000,0245678
0245678,7,-1000000,0245678
0245678,0,-1000000,0245678
0245678,0,-1000000,0245678
0245678,3,-476602.0351083055,02345678
02345678,6,-1000000,02345678
02345678,6,-1000000,02345678
02345678,7,-1000000,02345678
02345678,7,-1000000,02345678
02345678,3,-1000000,02345678
02345678,5,-1000000,02345678
02345678,4,-1000000,02345678
02345678,6,-1000000,02345678
02345678,6,-1000000,02345678
02345678,5,-1000000,02345678
02345678,8,-1000000,02345678
02345678,7,-1000000,02345678
02345678,2,-1000000,02345678
02345678,0,-1000000,02345678
02345678,0,-1000000,02345678
02345678,1,2651027.1463376265,012345678
012345678,8,-1000000,012345678
,1,2942279.8069204786,1
1,1,-1000000,1
1,4,0.0,14
14,8,2808594.104881085,148
148,5,-2604321.1478420934,1458
1458,0,2340106.915253658,01458
01458,1,-1000000,01458
01458,4,-1000000,01458
01458,7,0.0,014578
014578,7,-1000000,014578
014578,0,-1000000,014578
014578,8,-1000000,014578
014578,2,2724527.984856087,0124578
0124578,0,-1000000,0124578
0124578,5,-1000000,0124578
0124578,8,-1000000,0124578
0124578,6,26.988419289700687,01245678
